person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
25,85000,MORTGAGE,5,DEBTCONSOLIDATION,C,7500,11.03,0.09,Y,3,0
28,24000,RENT,8,EDUCATION,B,8875,10.65,0.37,N,7,1
27,27000,RENT,11,EDUCATION,B,1500,10.36,0.06,N,5,0
23,100000,MORTGAGE,7,VENTURE,B,10000,10.59,0.1,N,4,0
27,72900,MORTGAGE,3,PERSONAL,D,10000,15.7,0.14,Y,9,0
38,107004,MORTGAGE,11,VENTURE,B,15000,10,0.14,N,16,0
24,49500,RENT,9,EDUCATION,D,6000,16.07,0.12,Y,4,0
28,105000,RENT,5,DEBTCONSOLIDATION,C,5500,15.23,0.05,N,7,0
27,60132,RENT,11,VENTURE,B,10000,10.62,0.17,N,10,0
24,49639,RENT,8,MEDICAL,C,10000,11.6,0.2,N,3,0
22,33280,RENT,2,VENTURE,C,10000,12.53,0.3,Y,4,0
37,24500,RENT,0,PERSONAL,B,2400,11.71,0.1,N,11,0
30,39552,MORTGAGE,2,VENTURE,B,12375,10.37,0.31,N,9,0
35,49404,RENT,0,MEDICAL,A,22750,6.54,0.46,N,9,1
24,65000,RENT,5,HOMEIMPROVEMENT,A,9000,6.03,0.14,N,4,0
26,45000,RENT,3,VENTURE,B,1500,10.25,0.03,N,3,0
24,62677,MORTGAGE,2,MEDICAL,B,6000,10.2,0.1,N,2,0
60,31500,RENT,2,DEBTCONSOLIDATION,C,4650,13.23,0.15,N,27,0
25,77000,MORTGAGE,9,DEBTCONSOLIDATION,A,3000,7.49,0.04,N,4,0
24,165000,RENT,2,PERSONAL,B,10000,9.2,0.06,N,3,0
24,76000,MORTGAGE,3,VENTURE,C,12000,11.6,0.16,Y,4,1
22,41000,MORTGAGE,0,DEBTCONSOLIDATION,B,7750,9.88,0.19,N,3,0
24,73440,MORTGAGE,7,HOMEIMPROVEMENT,A,7000,6.99,0.1,N,4,0
25,80000,MORTGAGE,9,VENTURE,E,4000,19.03,0.05,Y,3,0
36,62400,MORTGAGE,0,DEBTCONSOLIDATION,A,2400,7.49,0.04,N,14,0
23,90000,RENT,3,PERSONAL,B,6000,10.25,0.07,N,3,0
29,74000,RENT,3,HOMEIMPROVEMENT,C,16000,13.11,0.22,Y,5,1
23,92000,MORTGAGE,7,EDUCATION,C,18000,12.68,0.2,N,2,0
22,62000,MORTGAGE,6,PERSONAL,A,5000,6.03,0.08,N,4,0
39,30500,RENT,3,PERSONAL,A,3600,7.68,0.12,N,13,0
26,39900,RENT,1,DEBTCONSOLIDATION,B,14000,10.37,0.35,N,3,1
31,25000,MORTGAGE,5,DEBTCONSOLIDATION,A,3000,8.9,0.12,N,8,0
21,50000,RENT,4,EDUCATION,B,7300,11.71,0.15,N,3,0
22,49000,RENT,6,PERSONAL,E,10000,16.45,0.2,N,2,1
27,57504,MORTGAGE,11,MEDICAL,B,17000,12.18,0.3,N,8,1
34,27600,RENT,5,DEBTCONSOLIDATION,B,10000,10.37,0.36,N,6,1
25,241875,MORTGAGE,4,EDUCATION,A,16000,7.05,0.07,N,4,0
27,44000,RENT,2,MEDICAL,B,15000,11.6,0.34,N,6,1
22,33000,RENT,2,EDUCATION,B,7500,11.6,0.23,N,4,0
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,15.33,0.57,N,2,1
24,120000,MORTGAGE,8,VENTURE,A,20000,7.9,0.17,N,4,0
22,18000,RENT,1,EDUCATION,C,4000,10.91,0.22,Y,4,1
23,95004,RENT,2,EDUCATION,A,5000,9.63,0.05,N,4,0
27,45000,MORTGAGE,3,MEDICAL,C,18000,12.87,0.4,N,8,0
22,39996,RENT,2,PERSONAL,A,8000,7.14,0.2,N,4,0
26,46000,MORTGAGE,3,HOMEIMPROVEMENT,B,11000,12.69,0.24,N,2,0
31,80000,RENT,6,VENTURE,A,10000,11.6,0.13,N,9,0
23,40000,RENT,2,PERSONAL,C,3000,13.49,0.07,N,3,0
42,32000,RENT,5,DEBTCONSOLIDATION,B,10000,11.71,0.31,N,14,1
21,83000,MORTGAGE,4,MEDICAL,A,8500,8,0.1,N,4,0
25,78000,RENT,1,PERSONAL,A,6000,9.63,0.08,N,4,0
23,48000,RENT,7,MEDICAL,D,20000,15.65,0.42,N,4,1
45,89000,RENT,5,PERSONAL,B,19200,11.6,0.22,N,12,0
23,92004,RENT,2,DEBTCONSOLIDATION,B,8000,11.49,0.09,N,4,0
40,14400,RENT,0,MEDICAL,B,1000,9.25,0.07,N,11,0
23,48000,RENT,0,PERSONAL,A,6800,6.54,0.14,N,4,1
36,30000,RENT,0,EDUCATION,A,5500,8.9,0.18,N,11,0
33,44000,RENT,3,HOMEIMPROVEMENT,B,2725,12.18,0.06,N,7,1
22,78000,MORTGAGE,6,DEBTCONSOLIDATION,A,15000,7.88,0.19,N,3,0
35,70000,RENT,5,HOMEIMPROVEMENT,A,9600,5.42,0.14,N,9,0
21,30000,RENT,2,EDUCATION,B,1200,9.62,0.04,N,3,0
25,64500,OWN,4,PERSONAL,C,12000,13.48,0.19,Y,4,0
24,65000,RENT,5,MEDICAL,A,12000,8.9,0.18,N,3,0
42,60000,RENT,1,PERSONAL,E,15000,11.6,0.25,Y,15,1
27,57600,MORTGAGE,11,PERSONAL,A,8500,7.14,0.15,N,5,0
21,160000,OTHER,5,EDUCATION,A,6000,8,0.04,N,4,0
31,24000,RENT,0,MEDICAL,A,3500,6.17,0.15,N,6,0
24,105000,MORTGAGE,6,EDUCATION,B,25000,10.74,0.24,N,3,0
27,200000,MORTGAGE,9,PERSONAL,A,7000,6.03,0.04,N,10,0
27,48000,RENT,2,VENTURE,C,16000,14.22,0.33,N,5,1
24,122000,RENT,4,DEBTCONSOLIDATION,B,15000,11.58,0.12,N,2,0
23,49800,RENT,2,PERSONAL,B,2400,11.83,0.05,N,2,0
27,116000,MORTGAGE,0,EDUCATION,C,3500,12.53,0.03,N,10,1
26,77368,RENT,1,VENTURE,B,15000,10,0.19,N,3,0
22,71000,RENT,5,MEDICAL,C,3000,14.65,0.04,N,4,0
28,74400,MORTGAGE,7,MEDICAL,B,12000,11.6,0.16,N,6,0
23,78000,RENT,1,VENTURE,B,3500,9.96,0.04,N,4,0
22,35000,RENT,4,PERSONAL,C,5000,13.23,0.14,N,2,0
28,68900,MORTGAGE,1,PERSONAL,E,18000,17.39,0.26,N,7,1
31,39000,RENT,2,PERSONAL,C,7000,11.6,0.18,N,9,0
23,54000,MORTGAGE,7,PERSONAL,A,2000,5.42,0.04,N,2,0
23,55365,MORTGAGE,4,PERSONAL,F,25000,19.04,0.45,N,4,1
30,55000,MORTGAGE,9,HOMEIMPROVEMENT,B,16000,11.6,0.29,N,6,0
32,52500,MORTGAGE,15,DEBTCONSOLIDATION,A,9500,6.92,0.18,N,7,0
34,64000,MORTGAGE,2,HOMEIMPROVEMENT,A,8000,6.91,0.13,N,6,0
23,84000,RENT,5,EDUCATION,A,15000,6.03,0.18,N,4,0
37,65000,RENT,4,PERSONAL,D,12000,16.49,0.18,N,17,0
33,46000,RENT,13,PERSONAL,C,5600,15.27,0.12,N,9,0
24,84000,RENT,3,MEDICAL,B,13000,11.83,0.15,N,3,0
24,32000,RENT,4,MEDICAL,A,12000,7.51,0.38,N,2,1
27,60000,MORTGAGE,3,HOMEIMPROVEMENT,B,10000,12.53,0.17,N,10,0
24,55032,RENT,8,EDUCATION,A,12000,9.63,0.22,N,2,0
36,30000,RENT,14,MEDICAL,B,3000,10.38,0.1,N,11,0
29,55000,RENT,0,HOMEIMPROVEMENT,B,14000,11.58,0.25,N,6,0
22,62000,MORTGAGE,6,VENTURE,A,5000,8.59,0.08,N,4,0
24,120000,MORTGAGE,1,EDUCATION,D,25000,13.99,0.21,N,4,0
22,43200,OWN,6,PERSONAL,A,10000,9.63,0.23,N,3,0
33,48000,RENT,1,MEDICAL,B,7000,11.99,0.15,N,8,0
36,65004,RENT,3,EDUCATION,D,20000,15.33,0.31,N,15,1
44,48000,MORTGAGE,12,HOMEIMPROVEMENT,B,17500,12.18,0.36,N,11,0
26,38000,RENT,6,VENTURE,B,7800,12.53,0.21,N,4,0
21,42504,RENT,0,EDUCATION,A,6300,6.99,0.15,N,3,0
28,72000,RENT,8,PERSONAL,B,5000,10.59,0.07,N,9,0
27,80000,RENT,3,PERSONAL,A,20000,7.49,0.25,N,9,0
25,44000,MORTGAGE,1,VENTURE,C,10000,12.87,0.23,Y,2,0
22,26000,RENT,0,DEBTCONSOLIDATION,C,9000,12.73,0.35,N,4,1
29,200000,MORTGAGE,7,PERSONAL,B,14400,11.14,0.07,N,7,0
31,43812,RENT,2,MEDICAL,C,2400,14.35,0.05,N,5,0
24,76554,RENT,8,HOMEIMPROVEMENT,D,7600,12.61,0.1,N,2,0
21,25000,OWN,0,EDUCATION,B,8800,9.33,0.35,N,3,0
23,36000,OWN,1,VENTURE,A,1800,6.54,0.05,N,4,0
30,60000,MORTGAGE,7,HOMEIMPROVEMENT,A,4200,11.6,0.07,N,5,0
22,60000,MORTGAGE,1,PERSONAL,C,7500,11.66,0.13,N,4,0
27,35000,MORTGAGE,3,MEDICAL,E,6000,16.69,0.17,N,8,1
25,66000,MORTGAGE,4,HOMEIMPROVEMENT,C,15000,14.35,0.23,N,4,0
32,40000,RENT,2,EDUCATION,B,5400,11.11,0.14,N,5,0
30,26500,RENT,14,DEBTCONSOLIDATION,C,10625,14.27,0.4,N,9,1
28,75000,MORTGAGE,2,PERSONAL,C,15000,14.65,0.2,Y,7,0
23,74196,RENT,2,EDUCATION,B,18500,11.26,0.25,N,3,0
22,60000,RENT,0,DEBTCONSOLIDATION,B,6600,10.59,0.11,N,2,0
22,78000,MORTGAGE,6,EDUCATION,A,7750,7.51,0.1,N,4,0
37,60000,RENT,5,DEBTCONSOLIDATION,B,15000,12.42,0.25,N,15,0
24,36000,RENT,2,HOMEIMPROVEMENT,D,2500,16.77,0.07,N,3,1
30,100000,MORTGAGE,2,EDUCATION,D,10000,16.77,0.1,Y,10,0
33,24000,OWN,2,HOMEIMPROVEMENT,B,1875,11.6,0.08,N,9,0
25,110000,MORTGAGE,9,DEBTCONSOLIDATION,A,18000,11.6,0.16,N,2,0
21,24000,RENT,2,MEDICAL,B,6000,11.36,0.25,N,3,0
24,16800,RENT,1,EDUCATION,C,5000,14.22,0.3,Y,4,1
23,50000,RENT,5,PERSONAL,B,6000,11.48,0.12,N,3,0
36,900000,MORTGAGE,8,PERSONAL,B,6000,11.6,0.01,N,12,0
27,43680,MORTGAGE,3,DEBTCONSOLIDATION,B,7000,10.65,0.16,N,10,0
25,30000,OWN,1,VENTURE,C,5000,11.6,0.17,Y,3,0
33,21996,RENT,0,EDUCATION,C,9250,12.87,0.42,N,9,1
25,45996,RENT,3,VENTURE,C,11500,12.53,0.25,N,4,0
34,30000,OWN,3,HOMEIMPROVEMENT,C,8875,14.27,0.3,Y,8,0
26,50000,OWN,4,HOMEIMPROVEMENT,C,10000,13.47,0.2,Y,2,0
40,85000,MORTGAGE,1,EDUCATION,C,10000,12.87,0.12,N,11,0
32,74346,MORTGAGE,16,MEDICAL,A,7000,7.9,0.09,N,9,0
22,32400,MORTGAGE,1,DEBTCONSOLIDATION,A,5500,11.6,0.17,N,2,0
25,62400,OWN,5,DEBTCONSOLIDATION,D,15000,17.58,0.24,N,3,0
31,79050,RENT,7,MEDICAL,C,11200,13.99,0.12,N,8,1
27,80000,RENT,3,EDUCATION,D,12000,17.58,0.15,N,7,0
26,28800,MORTGAGE,2,VENTURE,A,5150,6.62,0.18,N,2,0
25,53004,MORTGAGE,3,VENTURE,A,4800,5.42,0.09,N,2,0
23,50000,RENT,8,MEDICAL,B,5825,10.65,0.12,N,2,0
26,85000,MORTGAGE,0,MEDICAL,B,8000,11.6,0.09,N,4,0
30,100815,RENT,7,MEDICAL,F,20000,18.3,0.17,Y,6,1
28,100000,OWN,7,HOMEIMPROVEMENT,C,20000,12.68,0.2,Y,6,0
25,136112,MORTGAGE,9,HOMEIMPROVEMENT,E,15600,19.42,0.11,N,2,1
24,55000,OWN,3,MEDICAL,B,16000,11.6,0.29,N,3,0
23,42000,RENT,4,EDUCATION,C,12000,13.49,0.29,N,2,0
32,40000,RENT,1,MEDICAL,C,4000,13.49,0.1,Y,8,0
21,33009,OWN,5,VENTURE,B,12000,11.48,0.36,N,4,0
22,16800,RENT,2,DEBTCONSOLIDATION,C,4000,14.27,0.24,N,4,1
33,75000,MORTGAGE,2,DEBTCONSOLIDATION,B,7500,10.08,0.1,N,9,1
25,46000,MORTGAGE,4,EDUCATION,C,2125,12.99,0.05,Y,2,0
34,52809,RENT,18,VENTURE,B,13000,10.62,0.25,N,9,0
24,56000,RENT,8,VENTURE,B,12000,11.49,0.21,N,2,0
27,72996,MORTGAGE,12,EDUCATION,A,9200,6.03,0.13,N,8,0
34,187000,RENT,3,VENTURE,A,12000,7.9,0.06,N,10,0
28,125004,MORTGAGE,9,PERSONAL,A,12000,7.14,0.1,N,5,0
24,64000,RENT,7,DEBTCONSOLIDATION,D,3000,15.21,0.05,N,4,1
30,94104,OWN,15,VENTURE,C,14400,14.27,0.15,Y,7,0
22,42000,OWN,0,EDUCATION,C,12000,11.6,0.29,N,3,0
22,91234,MORTGAGE,6,PERSONAL,B,12000,11.83,0.13,N,2,0
22,59600,MORTGAGE,6,PERSONAL,A,6000,5.42,0.1,N,3,0
28,170000,MORTGAGE,3,MEDICAL,B,4000,11.6,0.02,N,10,0
26,45000,MORTGAGE,10,DEBTCONSOLIDATION,A,10000,6.91,0.22,N,4,0
29,72000,MORTGAGE,3,MEDICAL,B,12000,11.49,0.17,N,5,0
22,60000,OWN,6,EDUCATION,A,14000,7.88,0.23,N,2,0
34,63996,MORTGAGE,2,EDUCATION,A,6400,8,0.1,N,9,0
23,48000,RENT,0,MEDICAL,D,20000,14.96,0.42,N,3,1
44,70000,RENT,15,DEBTCONSOLIDATION,A,6000,5.79,0.09,N,16,0
27,57600,RENT,3,EDUCATION,A,14000,7.29,0.24,N,8,0
26,35880,RENT,2,VENTURE,A,5000,7.68,0.14,N,4,0
48,59000,RENT,2,EDUCATION,A,6000,5.99,0.1,N,12,0
25,37200,RENT,2,HOMEIMPROVEMENT,D,2800,16.29,0.08,N,3,1
22,85000,MORTGAGE,7,EDUCATION,A,11700,8.59,0.14,N,3,0
26,40000,RENT,10,VENTURE,D,10000,16.89,0.25,N,3,0
29,48000,MORTGAGE,4,HOMEIMPROVEMENT,A,5000,5.99,0.1,N,8,0
23,50000,RENT,4,VENTURE,C,6000,13.49,0.12,N,3,0
27,30000,RENT,2,DEBTCONSOLIDATION,E,5000,17.99,0.17,Y,10,1
28,72000,MORTGAGE,8,PERSONAL,D,7500,6,0.1,N,10,0
30,65000,RENT,3,DEBTCONSOLIDATION,B,8800,10,0.14,N,8,0
23,39325,MORTGAGE,3,EDUCATION,C,2800,12.87,0.07,N,4,1
34,54072,MORTGAGE,12,MEDICAL,B,7000,11.89,0.13,N,9,0
24,18000,OWN,0,HOMEIMPROVEMENT,A,6250,6.54,0.35,N,4,1
23,30000,RENT,0,VENTURE,A,3600,6.17,0.12,N,2,0
40,50004,RENT,3,DEBTCONSOLIDATION,B,20000,11.6,0.4,N,17,1
33,75000,MORTGAGE,5,PERSONAL,A,6000,7.9,0.08,N,8,0
25,150000,MORTGAGE,9,MEDICAL,B,12500,11.58,0.08,N,4,0
28,42000,RENT,7,MEDICAL,A,2250,6.99,0.05,N,8,1
24,67992,MORTGAGE,8,DEBTCONSOLIDATION,B,12000,10.75,0.18,N,2,0
31,201000,MORTGAGE,3,HOMEIMPROVEMENT,B,15000,11.12,0.07,N,9,0
26,50400,OWN,0,VENTURE,B,6725,10.62,0.13,N,4,0
23,79996,MORTGAGE,2,EDUCATION,E,24000,16.32,0.3,Y,3,0
30,120000,OWN,14,VENTURE,C,10000,13.06,0.08,Y,8,0
24,52500,RENT,1,EDUCATION,C,9500,14.79,0.18,Y,3,0
33,70000,OWN,17,VENTURE,A,24000,7.49,0.34,N,6,0
25,120000,RENT,2,VENTURE,A,32000,6.62,0.27,N,2,0
21,125000,MORTGAGE,0,PERSONAL,A,10000,7.51,0.08,N,2,0
25,32000,RENT,2,DEBTCONSOLIDATION,D,8575,15.62,0.27,Y,2,1
23,41000,RENT,6,PERSONAL,C,4500,12.99,0.11,N,4,0
27,106000,MORTGAGE,11,EDUCATION,B,4000,11.71,0.04,N,8,0
27,104550,MORTGAGE,0,MEDICAL,F,23000,18.43,0.19,N,9,1
29,37100,MORTGAGE,9,PERSONAL,E,3000,16.82,0.08,N,7,0
25,46250,RENT,2,MEDICAL,A,3000,11.6,0.06,N,3,0
24,54996,OWN,0,VENTURE,B,12000,11.26,0.22,N,3,0
