id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
82422,Female,Loyal Customer,28,Business travel,Business,502,4,4,4,4,4,4,4,4,5,5,5,5,5,4,0,1,satisfied
37284,Male,disloyal Customer,30,Business travel,Eco,944,3,3,3,2,2,3,2,2,5,3,4,1,1,2,94,73,neutral or dissatisfied
37072,Male,disloyal Customer,36,Business travel,Business,1072,3,3,3,4,5,3,5,5,1,5,1,4,2,5,0,0,neutral or dissatisfied
123445,Male,Loyal Customer,45,Business travel,Business,2077,1,1,1,1,5,4,4,5,5,5,5,3,5,4,0,16,satisfied
117010,Female,Loyal Customer,58,Business travel,Business,1905,2,3,3,3,5,4,4,2,2,2,2,3,2,2,7,0,neutral or dissatisfied
114305,Male,Loyal Customer,46,Personal Travel,Eco,846,3,4,3,3,1,3,1,1,1,3,2,5,4,1,30,15,neutral or dissatisfied
16566,Female,Loyal Customer,39,Business travel,Business,3119,5,5,5,5,5,5,1,4,4,5,4,5,4,1,0,0,satisfied
13045,Male,Loyal Customer,56,Personal Travel,Eco,374,1,5,1,2,2,1,2,2,2,1,3,3,2,2,79,71,neutral or dissatisfied
67611,Male,disloyal Customer,55,Business travel,Business,1126,5,5,5,4,1,5,1,1,5,3,4,5,5,1,0,0,satisfied
103452,Female,disloyal Customer,39,Business travel,Business,448,3,3,3,4,1,3,1,1,3,5,4,1,3,1,0,0,neutral or dissatisfied
122547,Male,Loyal Customer,24,Business travel,Eco,500,2,4,4,4,2,2,2,2,4,2,3,3,4,2,0,0,neutral or dissatisfied
126090,Male,disloyal Customer,22,Business travel,Eco,631,4,0,4,5,2,4,2,2,5,4,5,5,5,2,0,6,satisfied
94178,Male,Loyal Customer,55,Business travel,Business,1795,5,5,5,5,5,5,5,4,4,4,5,3,4,3,17,12,satisfied
114007,Female,Loyal Customer,45,Personal Travel,Eco,1844,1,4,1,4,5,4,4,4,4,1,4,3,4,3,34,28,neutral or dissatisfied
39330,Female,Loyal Customer,65,Personal Travel,Eco Plus,67,1,3,1,3,3,2,3,3,3,1,3,4,3,3,0,17,neutral or dissatisfied
57431,Male,Loyal Customer,40,Business travel,Business,3347,3,3,3,3,4,4,4,4,4,5,4,3,4,4,0,0,satisfied
81245,Female,disloyal Customer,47,Business travel,Eco,530,4,0,4,3,2,4,2,2,2,2,1,4,2,2,0,0,neutral or dissatisfied
110565,Female,Loyal Customer,41,Business travel,Business,488,5,5,5,5,4,4,4,4,4,4,4,3,4,4,0,0,satisfied
38478,Female,Loyal Customer,19,Personal Travel,Eco,846,0,5,0,2,3,0,3,3,5,4,5,4,5,3,15,17,satisfied
40437,Male,Loyal Customer,45,Business travel,Eco,188,4,4,4,4,4,4,4,4,4,1,2,3,2,4,0,0,satisfied
111927,Male,disloyal Customer,22,Business travel,Eco,472,4,4,4,4,5,4,5,5,3,5,5,5,5,5,4,2,satisfied
35527,Female,Loyal Customer,14,Personal Travel,Eco,1076,1,5,1,1,3,1,3,3,4,5,4,3,5,3,0,1,neutral or dissatisfied
124561,Female,Loyal Customer,49,Business travel,Business,453,2,2,2,2,2,4,4,4,4,5,4,4,4,4,0,0,satisfied
54116,Male,Loyal Customer,65,Personal Travel,Business,1400,3,4,2,3,2,1,2,1,1,2,1,4,1,2,41,27,neutral or dissatisfied
114035,Female,Loyal Customer,51,Business travel,Business,2125,4,4,4,4,3,5,5,4,4,4,4,5,4,4,45,37,satisfied
74337,Male,Loyal Customer,62,Personal Travel,Business,1188,4,4,4,4,3,2,3,3,3,4,1,2,3,4,0,0,neutral or dissatisfied
107893,Male,disloyal Customer,40,Business travel,Business,861,5,5,5,5,5,5,5,5,3,2,4,4,4,5,7,3,satisfied
17077,Male,Loyal Customer,60,Personal Travel,Business,416,3,5,3,1,2,2,5,5,5,3,5,2,5,5,106,98,neutral or dissatisfied
53453,Female,Loyal Customer,31,Business travel,Eco,2288,4,3,3,3,4,4,4,2,3,3,2,4,1,4,326,310,satisfied
69748,Male,Loyal Customer,58,Business travel,Business,2474,4,4,4,4,2,5,5,5,5,5,5,5,5,3,0,0,satisfied
18528,Male,disloyal Customer,36,Business travel,Eco,192,2,0,2,5,3,2,3,3,1,4,5,3,3,3,109,108,neutral or dissatisfied
62818,Female,Loyal Customer,57,Personal Travel,Eco,2486,2,3,2,3,5,3,5,3,3,2,5,5,3,4,0,0,neutral or dissatisfied
66554,Female,Loyal Customer,69,Personal Travel,Eco,328,3,0,3,3,2,4,4,5,5,3,5,5,5,4,0,0,neutral or dissatisfied
34940,Male,Loyal Customer,34,Personal Travel,Eco,187,1,5,1,3,4,1,2,4,4,3,5,3,4,4,0,0,neutral or dissatisfied
56728,Female,Loyal Customer,69,Personal Travel,Eco,937,3,4,3,3,5,5,4,2,2,3,5,4,2,5,15,3,neutral or dissatisfied
110280,Male,Loyal Customer,66,Personal Travel,Business,919,4,4,4,1,3,5,4,1,1,4,1,4,1,3,74,61,neutral or dissatisfied
59627,Male,Loyal Customer,23,Business travel,Business,1564,2,3,3,3,2,2,2,2,4,4,4,4,3,2,19,7,neutral or dissatisfied
48162,Female,Loyal Customer,30,Business travel,Business,192,2,4,4,4,3,3,2,3,2,5,3,4,3,3,0,0,neutral or dissatisfied
85075,Male,disloyal Customer,36,Business travel,Business,874,1,0,0,5,2,0,4,2,4,2,5,3,4,2,0,0,neutral or dissatisfied
127354,Female,Loyal Customer,36,Personal Travel,Eco,507,1,3,1,4,4,1,4,4,4,4,4,3,4,4,0,0,neutral or dissatisfied
45258,Female,Loyal Customer,37,Personal Travel,Eco,584,1,4,1,2,1,1,5,1,3,4,4,4,4,1,23,23,neutral or dissatisfied
77018,Female,Loyal Customer,52,Business travel,Business,2960,5,5,5,5,3,4,5,2,2,2,2,5,2,4,52,48,satisfied
26728,Female,disloyal Customer,39,Business travel,Business,404,5,5,5,1,1,5,4,1,4,3,5,3,2,1,0,1,satisfied
83842,Female,Loyal Customer,65,Personal Travel,Eco,425,4,0,4,2,2,5,5,4,4,4,4,4,4,3,0,0,neutral or dissatisfied
59860,Male,Loyal Customer,43,Business travel,Business,1860,3,3,2,3,4,4,4,5,5,5,5,5,5,3,25,7,satisfied
92709,Female,disloyal Customer,19,Business travel,Eco,818,4,4,4,2,5,4,5,5,4,4,3,4,5,5,0,8,neutral or dissatisfied
61785,Male,Loyal Customer,47,Personal Travel,Eco,1346,1,5,1,5,5,1,5,5,5,4,4,5,4,5,0,0,neutral or dissatisfied
33796,Female,disloyal Customer,22,Business travel,Eco,1284,3,3,3,4,5,3,5,5,1,1,4,1,4,5,0,11,neutral or dissatisfied
100909,Male,Loyal Customer,65,Personal Travel,Eco,377,2,5,2,2,3,2,2,3,3,5,5,5,4,3,0,0,neutral or dissatisfied
105374,Male,Loyal Customer,51,Business travel,Business,369,1,1,1,1,3,4,5,5,5,5,5,5,5,4,1,0,satisfied
107145,Female,Loyal Customer,50,Business travel,Business,1646,2,2,2,2,4,5,5,5,5,5,5,5,5,3,35,36,satisfied
21126,Female,Loyal Customer,51,Personal Travel,Eco,106,3,5,3,2,3,4,5,3,3,3,3,5,3,5,10,6,neutral or dissatisfied
124291,Male,Loyal Customer,44,Business travel,Business,601,3,3,3,3,4,4,4,5,5,5,5,3,5,5,0,0,satisfied
51774,Male,Loyal Customer,64,Personal Travel,Eco,261,1,4,0,3,1,0,1,1,3,1,3,3,4,1,0,0,neutral or dissatisfied
113708,Male,Loyal Customer,14,Personal Travel,Eco,397,4,4,4,1,4,4,4,4,3,5,5,3,5,4,0,0,neutral or dissatisfied
93077,Female,Loyal Customer,17,Business travel,Business,860,1,1,1,1,5,5,5,5,3,3,5,5,4,5,37,30,satisfied
126533,Male,Loyal Customer,32,Business travel,Business,1945,5,5,4,5,4,4,4,4,3,5,4,4,5,4,6,0,satisfied
28012,Male,Loyal Customer,42,Business travel,Business,1548,2,4,5,4,5,3,3,2,2,2,2,4,2,3,0,0,neutral or dissatisfied
68594,Female,disloyal Customer,8,Business travel,Eco Plus,1616,2,1,2,3,4,2,4,4,4,1,2,1,3,4,0,30,neutral or dissatisfied
120539,Male,Loyal Customer,48,Business travel,Business,2176,2,4,2,2,2,4,4,5,5,5,5,4,5,4,65,54,satisfied
128587,Female,disloyal Customer,29,Business travel,Business,2552,5,5,5,2,2,5,2,2,5,4,3,5,4,2,0,0,satisfied
52227,Male,disloyal Customer,26,Business travel,Eco,751,2,2,2,4,5,2,1,5,3,2,5,1,2,5,0,0,neutral or dissatisfied
1159,Male,Loyal Customer,33,Personal Travel,Eco,247,3,2,0,2,3,0,3,3,2,2,3,1,3,3,0,7,neutral or dissatisfied
104178,Male,Loyal Customer,17,Personal Travel,Eco,349,3,4,3,4,3,3,3,3,3,3,3,1,4,3,0,0,neutral or dissatisfied
16888,Male,disloyal Customer,25,Business travel,Eco,746,1,1,1,4,2,1,2,2,4,5,4,4,3,2,0,0,neutral or dissatisfied
104111,Female,Loyal Customer,30,Personal Travel,Eco,297,3,3,3,1,3,3,3,3,5,5,5,4,2,3,12,0,neutral or dissatisfied
69226,Male,Loyal Customer,27,Business travel,Business,733,3,3,3,3,4,4,4,4,5,5,4,4,4,4,0,2,satisfied
86366,Female,disloyal Customer,49,Business travel,Business,762,3,3,3,3,5,3,4,5,4,5,5,5,4,5,0,4,neutral or dissatisfied
45772,Female,Loyal Customer,18,Business travel,Business,517,2,2,2,2,2,2,2,2,1,3,3,2,2,2,0,0,satisfied
71045,Male,Loyal Customer,23,Business travel,Business,1671,3,3,3,3,3,3,3,3,4,1,4,2,3,3,0,0,neutral or dissatisfied
104114,Female,disloyal Customer,21,Business travel,Eco,297,3,3,3,4,4,3,3,4,2,4,4,1,3,4,51,53,neutral or dissatisfied
42328,Female,Loyal Customer,36,Personal Travel,Eco,817,1,0,1,4,4,1,4,4,5,3,5,5,4,4,0,3,neutral or dissatisfied
103443,Female,disloyal Customer,28,Business travel,Business,393,1,1,1,3,5,1,5,5,5,5,5,5,5,5,23,17,neutral or dissatisfied
111716,Female,Loyal Customer,49,Personal Travel,Eco,541,3,5,3,3,3,5,4,3,3,3,3,3,3,5,0,0,neutral or dissatisfied
124644,Male,Loyal Customer,46,Business travel,Business,399,5,5,5,5,2,5,4,5,5,5,5,4,5,3,0,2,satisfied
93517,Male,Loyal Customer,19,Personal Travel,Eco Plus,1020,3,4,3,1,1,3,1,1,2,4,2,5,1,1,5,0,neutral or dissatisfied
79204,Female,Loyal Customer,45,Business travel,Business,1990,1,1,1,1,2,3,4,4,4,4,4,3,4,3,0,0,satisfied
125164,Female,Loyal Customer,31,Business travel,Business,3440,3,2,2,2,3,3,3,3,2,5,3,4,3,3,0,0,neutral or dissatisfied
3925,Male,Loyal Customer,14,Personal Travel,Eco,213,4,3,4,2,3,4,3,3,3,4,3,4,3,3,0,0,neutral or dissatisfied
51139,Female,Loyal Customer,13,Personal Travel,Eco,373,2,1,3,3,5,3,5,5,4,3,2,4,3,5,0,0,neutral or dissatisfied
115794,Female,Loyal Customer,36,Business travel,Business,2554,5,5,5,5,2,3,4,4,4,4,4,3,4,5,29,25,satisfied
96042,Female,Loyal Customer,48,Business travel,Business,3071,1,1,1,1,3,4,4,3,3,4,3,5,3,4,15,22,satisfied
16652,Female,Loyal Customer,25,Business travel,Business,3033,2,4,4,4,2,2,2,2,2,3,4,1,4,2,30,74,neutral or dissatisfied
32025,Female,Loyal Customer,58,Business travel,Business,102,2,2,2,2,4,3,4,5,5,5,4,5,5,4,0,0,satisfied
31168,Female,Loyal Customer,50,Business travel,Business,516,1,1,5,1,4,2,3,4,4,4,4,3,4,2,0,0,satisfied
10910,Male,Loyal Customer,58,Business travel,Eco,429,2,4,4,4,2,2,2,2,1,3,3,3,4,2,10,4,neutral or dissatisfied
65,Male,disloyal Customer,24,Business travel,Eco,108,0,0,0,1,5,0,5,5,5,5,4,3,5,5,0,0,satisfied
101630,Male,Loyal Customer,47,Personal Travel,Eco,1371,3,4,3,1,2,3,2,2,3,5,4,5,4,2,1,0,neutral or dissatisfied
67410,Male,Loyal Customer,55,Business travel,Business,3452,4,4,4,4,2,4,4,4,4,4,4,4,4,3,0,0,satisfied
89884,Male,Loyal Customer,27,Business travel,Business,1310,1,4,1,1,2,2,2,2,4,3,4,5,5,2,0,1,satisfied
77539,Male,Loyal Customer,51,Business travel,Business,2199,1,1,1,1,2,5,5,5,5,5,5,4,5,4,0,0,satisfied
55317,Female,Loyal Customer,51,Business travel,Business,1325,3,4,4,4,5,4,3,3,3,3,3,3,3,1,0,0,neutral or dissatisfied
77301,Female,Loyal Customer,44,Business travel,Business,532,1,1,1,1,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
21124,Female,Loyal Customer,61,Personal Travel,Eco,106,3,4,3,4,2,1,1,5,5,3,5,1,5,1,50,51,neutral or dissatisfied
127827,Female,Loyal Customer,37,Personal Travel,Eco,1262,3,5,3,2,1,3,1,1,3,2,3,5,5,1,0,23,neutral or dissatisfied
56332,Female,disloyal Customer,27,Business travel,Eco,200,3,1,3,3,2,3,2,2,4,5,3,2,4,2,0,0,neutral or dissatisfied
106887,Male,disloyal Customer,11,Business travel,Eco,577,5,0,5,4,3,5,3,3,3,2,4,3,5,3,1,0,satisfied
88394,Male,Loyal Customer,22,Business travel,Business,1983,2,5,5,5,2,2,2,2,1,4,4,3,4,2,1,11,neutral or dissatisfied
9525,Female,Loyal Customer,43,Personal Travel,Business,292,3,5,2,3,5,5,5,5,5,2,5,3,5,5,0,0,neutral or dissatisfied
117377,Male,Loyal Customer,43,Business travel,Business,2688,2,2,3,2,2,4,4,5,5,5,5,4,5,3,22,0,satisfied
58238,Female,Loyal Customer,33,Personal Travel,Eco,802,3,3,2,3,2,2,2,2,1,2,4,4,3,2,0,5,neutral or dissatisfied
59019,Female,Loyal Customer,50,Business travel,Business,1744,5,5,5,5,5,3,5,5,5,4,5,4,5,4,0,0,satisfied
113284,Male,Loyal Customer,56,Business travel,Business,414,2,2,2,2,5,4,4,5,5,5,5,4,5,3,1,0,satisfied
126207,Male,Loyal Customer,43,Business travel,Eco,590,4,1,5,5,4,4,4,4,1,5,2,4,2,4,0,6,neutral or dissatisfied
25344,Female,Loyal Customer,29,Personal Travel,Eco Plus,829,2,4,2,3,4,2,4,4,3,5,4,4,4,4,0,0,neutral or dissatisfied
44634,Female,disloyal Customer,25,Business travel,Eco,67,3,0,2,4,4,2,4,4,2,3,5,4,1,4,0,1,neutral or dissatisfied
72581,Female,Loyal Customer,49,Business travel,Business,585,2,1,1,1,1,1,2,2,2,3,2,3,2,1,0,0,neutral or dissatisfied
116967,Male,disloyal Customer,26,Business travel,Business,621,5,5,5,3,3,5,3,3,5,5,4,5,5,3,68,54,satisfied
89510,Female,Loyal Customer,60,Business travel,Business,1089,2,4,3,4,5,4,4,2,2,2,2,1,2,4,65,47,neutral or dissatisfied
42847,Male,Loyal Customer,57,Business travel,Business,3761,4,3,3,3,4,3,2,4,4,4,4,1,4,1,29,33,neutral or dissatisfied
88817,Male,Loyal Customer,46,Business travel,Eco Plus,545,3,1,1,1,3,3,3,3,3,2,3,3,3,3,74,86,neutral or dissatisfied
95610,Female,disloyal Customer,24,Business travel,Eco,822,4,4,4,4,5,4,4,5,2,5,4,1,3,5,0,0,neutral or dissatisfied
18366,Female,disloyal Customer,18,Business travel,Eco,169,3,4,3,3,4,3,4,4,1,4,3,1,3,4,4,34,neutral or dissatisfied
65140,Female,Loyal Customer,18,Personal Travel,Eco,469,2,4,2,5,1,2,1,1,5,5,4,4,5,1,0,0,neutral or dissatisfied
6733,Female,disloyal Customer,36,Business travel,Eco,268,2,1,3,3,5,3,5,5,3,1,3,1,4,5,0,10,neutral or dissatisfied
129766,Male,Loyal Customer,12,Personal Travel,Eco,337,1,2,1,4,1,1,3,1,1,2,3,1,3,1,17,3,neutral or dissatisfied
62348,Female,Loyal Customer,48,Business travel,Business,1735,1,1,1,1,5,4,5,4,4,5,4,3,4,5,30,34,satisfied
37843,Female,Loyal Customer,31,Business travel,Business,2933,1,1,1,1,4,4,4,4,1,1,1,1,4,4,0,2,satisfied
34439,Female,Loyal Customer,27,Business travel,Business,2422,3,3,3,3,3,3,3,3,3,5,3,5,1,3,0,0,satisfied
38386,Male,Loyal Customer,67,Personal Travel,Eco Plus,1133,4,4,4,3,3,4,3,3,5,3,4,5,4,3,0,3,neutral or dissatisfied
70598,Male,Loyal Customer,58,Business travel,Business,2611,3,3,3,3,3,3,3,4,4,3,3,3,2,3,0,22,neutral or dissatisfied
88215,Female,Loyal Customer,59,Business travel,Business,2930,0,5,0,4,3,4,4,2,2,2,2,4,2,3,35,36,satisfied
70437,Female,Loyal Customer,54,Business travel,Business,3801,1,5,5,5,5,3,3,4,4,3,1,1,4,4,38,28,neutral or dissatisfied
304,Female,Loyal Customer,43,Business travel,Business,1895,1,2,2,2,1,3,4,1,1,1,1,4,1,2,0,0,neutral or dissatisfied
17350,Female,Loyal Customer,27,Business travel,Business,2717,5,5,4,5,4,5,4,4,2,2,5,4,4,4,0,0,satisfied
87988,Male,Loyal Customer,49,Business travel,Business,2017,2,2,2,2,2,4,5,5,5,5,5,4,5,5,0,3,satisfied
39568,Male,disloyal Customer,35,Business travel,Eco,954,3,3,3,4,4,3,4,4,2,3,4,2,5,4,0,7,neutral or dissatisfied
47797,Male,disloyal Customer,22,Business travel,Eco,462,3,4,3,4,1,3,1,1,3,3,1,3,2,1,0,0,neutral or dissatisfied
22503,Male,Loyal Customer,36,Personal Travel,Eco,143,3,3,0,3,2,0,2,2,1,5,4,3,1,2,0,0,neutral or dissatisfied
13142,Male,Loyal Customer,66,Personal Travel,Eco,427,1,3,1,4,4,1,4,4,3,4,4,2,4,4,14,14,neutral or dissatisfied
116245,Female,Loyal Customer,14,Personal Travel,Eco,325,5,1,5,3,2,5,2,2,1,1,4,2,3,2,4,0,satisfied
105855,Male,Loyal Customer,21,Business travel,Business,1975,5,5,5,5,5,4,5,5,5,5,4,4,4,5,119,104,satisfied
3204,Female,Loyal Customer,15,Personal Travel,Eco,585,3,4,3,3,3,3,2,3,2,5,2,4,2,3,0,1,neutral or dissatisfied
123908,Female,Loyal Customer,69,Personal Travel,Eco,546,2,5,2,4,3,4,5,4,4,2,4,4,4,2,0,0,neutral or dissatisfied
79462,Female,Loyal Customer,73,Business travel,Eco,783,4,5,5,5,4,1,4,4,4,4,4,2,4,3,0,0,satisfied
23121,Female,disloyal Customer,42,Business travel,Eco,223,4,0,4,4,4,4,3,4,3,2,4,4,3,4,0,0,neutral or dissatisfied
98268,Male,disloyal Customer,35,Business travel,Business,1136,2,2,2,4,3,2,3,3,4,1,3,1,3,3,37,39,neutral or dissatisfied
112361,Male,Loyal Customer,21,Business travel,Business,862,4,4,4,4,4,4,4,4,4,4,4,3,4,4,69,61,satisfied
51144,Female,Loyal Customer,44,Personal Travel,Eco,373,2,4,2,5,2,3,4,3,3,2,3,3,3,1,8,1,neutral or dissatisfied
68244,Female,Loyal Customer,42,Business travel,Eco,631,5,5,5,5,5,4,2,5,5,5,5,1,5,2,0,0,satisfied
1841,Female,Loyal Customer,22,Personal Travel,Eco,408,1,1,1,4,3,1,1,3,3,5,3,2,3,3,0,0,neutral or dissatisfied
59079,Male,disloyal Customer,24,Business travel,Eco,1723,3,3,3,3,3,3,3,3,5,4,5,1,3,3,9,0,neutral or dissatisfied
